Depth,destruction,Victim's reaction,Magnitude,Intensity
60,5,6,6.2,7
22,8,9,7.5,10
11.71,6,7,5,8
10,3,4,6.7,5
33,5,6,5.4,7
33,9,10,7.1,11
20,9,10,7,11
33,4,5,5,6
20,9,10,7,11
10,6,7,6,8
4,8,9,5.7,10
10,6,7,5.5,8
40,5,6,5,7
620.56,2,3,7.6,4
10,8,9,7.5,10
33,5,6,7.7,7
25,6,7,8.2,8
30,5,6,7,7
10,7,8,6.5,9
21,4,5,5.6,6
22,6,7,6,8
138.39,6,7,6,8
10,9,10,7.6,11
22.8,5,6,5.5,7
33,8,9,7.3,10
15,5,6,5.2,7
33,6,7,6,8
8,6,7,6.7,8
24,4,5,6.7,6
75.17,6,7,6,8
20,4,5,6.6,6
71.06,5,6,5.3,7
60.69,6,7,5,8
14.4,5,6,5.5,7
13,6,7,5.6,8
15,5,6,6,7
30,8,9,7.4,10
30,3,4,6.7,5
35,6,7,5.8,8
33,8,9,8,10
67.39,6,7,5.8,8
33,4,5,5.8,6
36,2,3,4.8,4
50,9,10,7.5,11
70,9,10,7.5,11
20,7,8,6.1,9
206.3,2,3,6.7,4
140,5,6,7.7,7
10,6,7,4.8,8
24,5,6,8,7
28,7,8,7.3,9
8,5,6,5.1,7
30,10,11,9.1,12
3,6,7,6.4,8
15,6,7,6.6,8
95.98,7,8,7,9
20,10,11,8,12
53,4,5,5.6,6
32,8,9,7.1,10
33,3,4,6.7,5
60,10,11,8.3,12
20,2,3,6.4,4
15,8,9,6.8,10
76.58,7,8,6.4,9
15,4,5,6.8,6
17,2,3,6.5,4
15,5,6,6.4,7
150,4,5,6.4,6
70,9,10,8.5,11
10,3,4,6.6,5
40,4,5,7.1,6
23,8,9,6.9,10
33,6,7,6.5,8
18,7,8,6.2,9
20,7,8,8.2,9
80,8,9,7,10
35,5,6,6.6,7
9.97,3,4,6.9,5
100,8,9,6.5,10
8,5,6,5.1,7
10,7,8,6.6,9
18,5,6,6.6,7
10,5,6,6.5,7
83,4,5,6.5,6
30.07,7,8,8,9
29,4,5,6.5,6
15,5,6,6,7
10,4,5,7.6,6
26,4,5,6.8,6
15,6,7,5.7,8
45,4,5,5.8,6
29,7,8,9.1,9
1,4,5,5.2,6
33,5,6,5.4,7
6,6,7,5.6,8
17,2,3,6.5,4
20,3,4,7,5
33,2,3,5.5,4
10,7,8,7.2,9
66,6,7,5.6,8
33,1,2,3.2,3
10,6,7,6,8
14,6,7,5.8,8
26,8,9,6.8,10
39,2,3,5.3,4
91,6,7,7.5,8
10,6,7,7.1,8
36,6,7,5.8,8
10,8,9,6.4,10
30,8,9,8.2,10
20,7,8,6.4,9
15,8,9,7.5,10
15,8,9,7.3,10
6,6,7,5.3,8
56,2,3,4.9,4
60,9,10,7.7,11
13.4,5,6,6.5,7
25,4,5,7.7,6
60,5,6,5.7,7
196,4,5,7.7,6
18,4,5,5.9,6
10,5,6,7.1,7
6,5,6,5,7
23,4,5,5.1,6
33,3,4,6.7,5
10,5,6,6.7,7
33,7,8,6.5,9
100,8,9,7.9,10
10,8,9,8,10
46.67,8,9,7.5,10
10,7,8,9.3,9
36.4,5,6,6.9,7
100,4,5,6.9,6
10,8,9,7.9,10
130.18,4,5,4.3,6
129.3,7,8,6.8,9
10,6,7,6.8,8
10,5,6,5.4,7
15,5,6,6.6,7
600,3,4,8.2,5
60,9,10,7.6,11
124.01,6,7,6.3,8
28.93,6,7,8.1,8
14,9,10,7.4,11
23.84,6,7,5.2,8
33,5,6,5.6,7
30,4,5,4.4,6
18,6,7,6,8
85.61,4,5,5,6
10,6,7,6,8
15,6,7,7.8,8
59.3,7,8,7.8,9
22,6,7,6,8
57,3,4,4.5,5
20,7,8,6.6,9
10,5,6,5.8,7
20,8,9,6.1,10
50,7,8,6.8,9
28,3,4,7.3,5
144.3,3,4,6.8,5
33,9,10,7,11
113,5,6,6.1,7
527,2,3,7.3,4
35,5,6,7.1,7
8,4,5,5.6,6
33,9,10,6.4,11
50.78,7,8,6.8,9
20,6,7,6.4,8
30,6,7,5.5,8
15,8,9,7.5,10
267,9,10,7,11
24,6,7,6.8,8
15,7,8,7.6,9
15,7,8,6.7,9
25,6,7,7.5,8
33.93,4,5,6.5,6
60,8,9,7.5,10
60,7,8,7.7,9
120,8,9,6.5,10
10,6,7,6.2,8
36,2,3,4.4,4
105.54,6,7,6.3,8
5,4,5,4.3,6
10,2,3,6.6,4
33,8,9,6.3,10
10,6,7,7.1,8
36,7,8,6.2,9
33,4,5,4.5,6
14,8,9,6.6,10
17,3,4,6.5,5
57,5,6,6.7,7
28,9,10,7.2,11
11,6,7,6.7,8
27.9,7,8,8,9
10,7,8,7,9
6,8,9,6.3,10
32,0,1,5.2,2
12.06,6,7,6.5,8
10,8,9,8.5,10
60,8,9,7.5,10
16,6,7,5.5,8
39,8,9,6.3,10
15,7,8,7.8,9
26,7,8,6.7,9
20,5,6,6.7,7
24,1,2,7.8,3
33,4,5,5.9,6
13,4,5,5.6,6
42,5,6,7.1,7
91,6,7,5.9,8
10,6,7,5.7,8
33,5,6,5.9,7
16.441,3,4,6.8,5
33,5,6,7.7,7
20,6,7,6.7,8
65,8,9,6.2,10
5,4,5,5,6
17,7,8,6.9,9
12,6,7,7,8
34,2,3,4.4,4
13,6,7,6.5,8
3,4,5,4.2,6
10,7,8,6,9
397,9,10,7.6,11
18,8,9,6.5,10
14,8,9,6.6,10
35,9,10,7.3,11
60,9,10,7.5,11
109,6,7,7.9,8
13,5,6,5.8,7
33,6,7,5.3,8
33,8,9,6.9,10
52.92,6,7,7.5,8
15,8,9,7.1,10
71,2,3,4.9,4
33,3,4,4.6,5
10,6,7,6.4,8
149.34,5,6,5.9,7
33,9,10,7,11
49.02,6,7,6.7,8
20,8,9,6.4,10
1,7,8,7.6,9
18,6,7,6.5,8
33,8,9,6.2,10
64,3,4,6.7,5
212,2,3,6.6,4
60,8,9,7.5,10
19,6,7,7.5,8
20.59,7,8,7.8,9
150,6,7,6.5,8
80.57,7,8,7.3,9
122.9,4,5,6.8,6
50,6,7,7.5,8
10,7,8,5.5,9
89.88,5,6,6,7
24,7,8,6.8,9
12,6,7,7,8
10,2,3,6.6,4
10,8,9,8,10
651,8,9,7.1,10
67.06,5,6,5.3,7
35,2,3,4.9,4
573,1,2,6.7,3
10,3,4,4.9,5
3,4,5,5,6
85,7,8,6.3,9
17,8,9,6.8,10
26,5,6,7.4,7
196,4,5,7.7,6
6,8,9,7.7,10
13.63,7,8,6,9
10,5,6,6.9,7
33,4,5,5.9,6
10,5,6,5.5,7
16,5,6,6.7,7
13,2,3,6.6,4
10,4,5,5,6
66,4,5,6.7,6
10,8,9,6.3,10
30,6,7,8.6,8
16,8,9,7.4,10
110,10,11,8.1,12
33,10,11,8.3,12
10,6,7,5.5,8
10,7,8,7.3,9
40,8,9,8.3,10
12,5,6,6.2,7
40,5,6,5,7
10,6,7,6,8
1,5,6,5,7
8,3,4,6.9,5
13,9,10,7.6,11
200,9,10,7.9,11
33,8,9,6.2,10
23.09,4,5,6.6,6
14,9,10,7.4,11
62,6,7,6.6,8
33,3,4,4.9,5
14.27,3,4,7.3,5
33,9,10,7.5,11
45,9,10,7.6,11
124.96,8,9,7.1,10
10,1,2,6.9,3
39,3,4,6.8,5
100,9,10,7.9,11
9,5,6,6.5,7
23,5,6,6.7,7
33,6,7,6.6,8
10,5,6,5.8,7
16,7,8,6.1,9
33,7,8,6.4,9
10,6,7,5.3,8
10,7,8,6.3,9
10,5,6,7.6,7
39,5,6,6.6,7
33,5,6,7.4,7
12,9,10,7.5,11
33,7,8,6.1,9
38,6,7,6,8
21,4,5,6.5,6
80,3,4,7,5
6.8,2,3,6.5,4
10,7,8,6.8,9
42.4,3,4,5.2,5
32,5,6,5.9,7
4,1,2,5.6,3
19.36,6,7,6.5,8
11,2,3,6.7,4
35,7,8,8.5,9
30,3,4,6.7,5
33,2,3,5.5,4
10,6,7,5.9,8
33,5,6,6,7
33,8,9,6.2,10
10,5,6,7.7,7
7,5,6,6.1,7
152,3,4,6.7,5
18,4,5,6.6,6
10,8,9,7.3,10
44,5,6,7,7
10,8,9,7.5,10
21,3,4,6.8,5
135,6,7,6.7,8
26,7,8,7.4,9
10,6,7,6.3,8
32,5,6,5.9,7
40,4,5,6.7,6
19.64,5,6,5.4,7
43,9,10,6.2,11
80,8,9,7.7,10
37,5,6,7.3,7
29,5,6,6.9,7
93,8,9,6.7,10
91.1,3,4,6.6,5
42,4,5,6.8,6
10,4,5,4.7,6
9,9,10,7.8,11
20,7,8,8.2,9
35,9,10,7.5,11
10,7,8,6.6,9
12,6,7,6.1,8
10,7,8,6.5,9
10,5,6,6.5,7
33,7,8,6.1,9
22,2,3,4.6,4
6,5,6,5.4,7
5,8,9,6,10
5,8,9,7.7,10
33,8,9,7.6,10
37,4,5,7,6
54,3,4,5.5,5
525,1,2,7.1,3
33,8,9,7,10
50,7,8,6.8,9
21,6,7,6.7,8
10,5,6,4.8,7
37,4,5,6.5,6
5,7,8,6.2,9
34,6,7,6.9,8
60,8,9,7.7,10
60,5,6,5.3,7
8.8,4,5,7,6
93.39,5,6,5,7
70,5,6,6.9,7
35,5,6,7.3,7
33,6,7,6.7,8
60,9,10,7.5,11
166.2,4,5,6.6,6
60,6,7,7.7,8
25,8,9,7.6,10
15,5,6,6.6,7
15,7,8,6.8,9
14,6,7,5.9,8
10,9,10,8.3,11
35,7,8,8.2,9
10,8,9,7.8,10
11,8,9,6.9,10
107,5,6,6.9,7
154.9,6,7,6.8,8
12,5,6,6.7,7
13,5,6,5.7,7
146,4,5,7.1,6
22,6,7,6.3,8
88.05,6,7,6,8
14,5,6,5.2,7
228.4,2,3,6.5,4
10,3,4,4.7,5
30,10,11,8.1,12
16,6,7,6.2,8
36,9,10,7.6,11
614,1,2,6.6,3
115,5,6,7,7
39,8,9,7,10
10,6,7,5.8,8
10,7,8,5.7,9
10,8,9,7.2,10
41,6,7,6,8
17,4,5,6.7,6
5,5,6,5.7,7
80,3,4,7,5
35,8,9,6.4,10
10,4,5,6.5,6
73,5,6,7.3,7
600,9,10,7.9,11
21,5,6,6.9,7
66.28,8,9,6.9,10
33,4,5,5.1,6
10,6,7,6.5,8
21,4,5,7.2,6
33,7,8,6.5,9
15,7,8,6.3,9
55,5,6,7.5,7
10,7,8,6,9
57,4,5,7.5,6
24,6,7,8.1,8
33,3,4,4.9,5
66,6,7,5.4,8
10,6,7,6.3,8
33,4,5,4.1,6
17,6,7,5.8,8
21,3,4,6.8,5
5,3,4,4.5,5
13,3,4,5.7,5
65.8,3,4,6.7,5
100,6,7,5.5,8
31,4,5,7,6
28,5,6,6.9,7
150,8,9,7.4,10
27,6,7,7.1,8
10,7,8,5.7,9
60,8,9,7.5,10
10,6,7,5.7,8
33,6,7,5.6,8
30.57,7,8,8,9
52,4,5,5.3,6
12,8,9,6.7,10
60,8,9,7.8,10
15,5,6,6.6,7
35,4,5,6.8,6
10,6,7,6.3,8
220,3,4,6.8,5
10,8,9,6.5,10
18,4,5,5.2,6
110,4,5,6.9,6
30,5,6,7.4,7
10,2,3,4.4,4
15.13,6,7,6,8
18,4,5,5,6
9,7,8,7.7,9
40,7,8,8.6,9
100,8,9,6.4,10
60,6,7,7.7,8
77.57,9,10,7.6,11
19,7,8,5.5,9
35,7,8,8.5,9
33,1,2,3.2,3
81,6,7,7.6,8
8.8,4,5,7,6
14,5,6,5.1,7
170,9,10,7.5,11
535,1,2,6.8,3
10,3,4,4.9,5
33,4,5,6.9,6
10,7,8,6.7,9
20,3,4,6.5,5
9,2,3,6.1,4
6,7,8,6,9
10,7,8,7,9
15,8,9,6.6,10
10,3,4,6.5,5
60,9,10,7.6,11
215,5,6,7.2,7
33,6,7,8.4,8
60.69,6,7,5,8
20,7,8,7.7,9
100,9,10,7.8,11
161.33,6,7,6,8
23,6,7,5,8
33,3,4,4.6,5
32.8,4,5,7.1,6
12,2,3,6.6,4
15,5,6,6.7,7
33,7,8,8.1,9
21,6,7,6.2,8
70,4,5,7,6
61,4,5,5.9,6
24,6,7,6.6,8
90,5,6,6.5,7
31,3,4,7.6,5
33,4,5,6.7,6
10,5,6,5.5,7
33,9,10,7.9,11
10,6,7,8,8
10,7,8,6.1,9
622.73,0,1,6.5,2
40,5,6,5.5,7
33,6,7,6.4,8
33,9,10,7.5,11
19,7,8,7.9,9
10,6,7,6.5,8
30,7,8,6.9,9
142.92,7,8,8.5,9
12,8,9,6.8,10
167.3,5,6,7.8,7
13,2,3,6.9,4
131,8,9,7.5,10
19,4,5,7,6
22,5,6,7,7
10,2,3,4.7,4
10,6,7,6.8,8
16,8,9,7.3,10
9,5,6,6.5,7
10,3,4,4.5,5
44,4,5,6.8,6
37,6,7,6.8,8
1,7,8,7.6,9
16,4,5,5.8,6
33,3,4,6.6,5
18,4,5,6.7,6
9.97,3,4,6.9,5
29,7,8,9.1,9
15,8,9,7.8,10
18.5,8,9,7.4,10
36,8,9,6.6,10
35,2,3,4.7,4
64,7,8,6.1,9
20,5,6,6.6,7
155,4,5,6.2,6
14,7,8,7.1,9
12,2,3,5.8,4
602.75,1,2,6.7,3
10,8,9,7,10
36,4,5,6.8,6
120,5,6,7.5,7
10,6,7,7.7,8
47,6,7,7.5,8
5,5,6,5.4,7
33,6,7,5.3,8
20,4,5,4.5,6
10,5,6,6.3,7
10,4,5,6.9,6
212,4,5,7.3,6
10,8,9,6.6,10
39.56,4,5,5.3,6
10,7,8,6.6,9
10,3,4,4.7,5
292,2,3,7.1,4
10,5,6,6.3,7
10,6,7,5.6,8
33,7,8,6,9
33,5,6,6.8,7
13,2,3,6.6,4
46,4,5,6.7,6
15.11,7,8,7.8,9
14,7,8,7.3,9
21.12,7,8,6.5,9
12,6,7,5.4,8
157.03,6,7,6.3,8
30,5,6,6.9,7
20,4,5,6.6,6
15,5,6,4.5,7
27.8,2,3,6.6,4
35,6,7,6.5,8
33,4,5,5.8,6
33,3,4,4.6,5
590,9,10,7.6,11
10,6,7,6.4,8
33,8,9,6.4,10
6,8,9,6.3,10
17,5,6,6.6,7
10,6,7,6.6,8
350,9,10,7.9,11
36,9,10,7.2,11
26,8,9,7.6,10
160,4,5,7.5,6
250,8,9,7.9,10
90,5,6,5.2,7
10,5,6,6.6,7
13,3,4,5.5,5
27.44,4,5,4.8,6
132.83,7,8,7.5,9
30,8,9,7.7,10
22.56,5,6,7.6,7
20.2,2,3,7.7,4
28,5,6,6.9,7
30,4,5,6.6,6
33,5,6,6.6,7
7,6,7,5.7,8
15,2,3,7.7,4
101.04,5,6,5.8,7
22,5,6,6.8,7
10,1,2,6.9,3
16,6,7,6.2,8
14.57,5,6,5.5,7
53,5,6,5.4,7
33,8,9,6.4,10
33,5,6,6.1,7
54,8,9,6.1,10
21.6,9,10,9,11
23,7,8,8.8,9
10,6,7,6,8
16,6,7,5.8,8
13,6,7,6.7,8
16,6,7,6.2,8
119,3,4,6.5,5
10,5,6,5.5,7
7,4,5,7.2,6
12,3,4,6.7,5
46,5,6,6.8,7
10,6,7,6.5,8
24,2,3,6.7,4
10,8,9,7.5,10
16,8,9,6.6,10
33,3,4,6.7,5
10,3,4,4.5,5
27,3,4,6.6,5
9,6,7,6.1,8
414.5,1,2,6.9,3
33,4,5,5.9,6
10,4,5,6.5,6
33,7,8,8.2,9
8.22,7,8,7.8,9
238,7,8,6.7,9
540,1,2,6.8,3
21,3,4,6.4,5
33,8,9,6.3,10
10,6,7,5.1,8
39,5,6,5.4,7
10,5,6,7.5,7
10,3,4,8,5
87,4,5,6.8,6
32,6,7,6,8
33.729,6,7,7,8
10,8,9,6,10
27,6,7,5.3,8
15,6,7,6.1,8
111.93,6,7,6.5,8
54,8,9,6,10
414.5,1,2,6.9,3
15,7,8,7.8,9
33,7,8,7.3,9
33,7,8,7.5,9
10,5,6,5.1,7
10,6,7,6,8
59,5,6,5.4,7
15,7,8,7.6,9
15,7,8,6.6,9
10,8,9,7,10
66,5,6,7,7
33,9,10,7.5,11
10,7,8,7.5,9
12,4,5,6.8,6
73,3,4,5.7,5
614,1,2,6.6,3
73.28,5,6,5.5,7
22.4,7,8,7.7,9
60,8,9,7.5,10
30,5,6,7.8,7
21,3,4,6.5,5
35,5,6,7.1,7
33,7,8,6,9
18,1,2,6,3
10,6,7,5.2,8
33,9,10,8.1,11
149,9,10,7.1,11
22,5,6,9,7
20,3,4,6.4,5
28,8,9,7.8,10
190,9,10,7.9,11
60,8,9,7.3,10
100,6,7,5.5,8
20,8,9,7.5,10
37,5,6,5.4,7
24,6,7,7.5,8
34,5,6,6.1,7
16,4,5,5.8,6
11,6,7,6.6,8
35,5,6,5.4,7
19,9,10,7.6,11
10,5,6,5.7,7
59,5,6,5.4,7
2,4,5,5.7,6
33,7,8,7.1,9
33,9,10,8.6,11
100,7,8,6.8,9
19.2,4,5,6.5,6
42.9,4,5,6.5,6
10,6,7,4.8,8
109,6,7,7.9,8
55,6,7,7.5,8
33,5,6,7,7
21,3,4,4.9,5
42.48,8,9,7.2,10
25,5,6,7.9,7
12,5,6,6.7,7
10,3,4,4.9,5
30,8,9,7.4,10
10,2,3,5,4
25,6,7,6,8
120,9,10,7.5,11
24,5,6,6.7,7
24.07,5,6,6.5,7
38,3,4,6.8,5
13,6,7,6.5,8
129.26,6,7,6.3,8
210,8,9,7.6,10
10,4,5,7.9,6
15,7,8,6.7,9
48,10,11,8.1,12
16.6,5,6,7,7
18,4,5,5.1,6
20,8,9,7.7,10
29,5,6,5.8,7
33,8,9,7.6,10
10,5,6,6.5,7
70,6,7,6,8
37.21,5,6,5.5,7
120,5,6,6.4,7
33,8,9,7.8,10
25,5,6,5.4,7
47.5,4,5,6.9,6
27,7,8,8.16,9
24,5,6,6.6,7
15,6,7,7.8,8
192.955,2,3,6.5,4
30,10,11,9.1,12
19,2,3,7.2,4
100,8,9,6.4,10
18,4,5,7,6
10,5,6,6.6,7
170,4,5,7.3,6
30,6,7,5,8
15.55,4,5,5.6,6
10,6,7,6.4,8
10,7,8,6.9,9
25,8,9,7.6,10
10,3,4,7,5
11.2,4,5,6.9,6
8,6,7,5.5,8
19,6,7,4.6,8
10,3,4,6.5,5
96,6,7,7.6,8
11,7,8,7.1,9
13,3,4,6.6,5
35,3,4,7.4,5
25,3,4,4.9,5
33,5,6,5.3,7
10,5,6,5.5,7
44,5,6,7,7
65,9,10,7.5,11
11,8,9,6.6,10
20,6,7,7.5,8
28,3,4,7.6,5
18,7,8,6.3,9
5,4,5,4.3,6
595,2,3,7.3,4
10,6,7,7,8
33,1,2,6.9,3
101.04,5,6,5.8,7
8,2,3,5.5,4
20,5,6,6.7,7
6,7,8,6,9
22,3,4,5.6,5
130,7,8,6.8,9
31,5,6,7.5,7
20,7,8,7.6,9
34,7,8,6,9
13,4,5,4.7,6
32,4,5,7.2,6
624.464,0,1,6.6,2
10,7,8,7.7,9
10,6,7,5.5,8
33,8,9,7.4,10
33,4,5,7.1,6
33,7,8,8.2,9
33,8,9,7.1,10
29.4,8,9,7.5,10
12,2,3,6.9,4
10,5,6,6.6,7
42.2,5,6,5.5,7
33,6,7,6.6,8
10,6,7,5.6,8
20,2,3,6.5,4
22.4,7,8,7.7,9
24,4,5,6.7,6
2,1,2,3.5,3
56.6,3,4,6.9,5
10,5,6,5.9,7
25,4,5,6.8,6
26,6,7,5.8,8
18,5,6,7,7
33,5,6,7.8,7
93.34,8,9,7.5,10
17,7,8,6.8,9
72.23,8,9,7.5,10
385.5,2,3,7.3,4
7,5,6,6.6,7
16,5,6,6.8,7
36,2,3,4.4,4
40,4,5,7.3,6
39.7,3,4,6.5,5
10,6,7,6,8
100,4,5,6.9,6
22.79,5,6,8.1,7
29,6,7,6.5,8
33,8,9,7.5,10
25,3,4,6.9,5
105.48,6,7,5.3,8
87.56,6,7,6.3,8
25,4,5,6.6,6
56,2,3,4.9,4
145,3,4,6.9,5
27,7,8,8.16,9
20,8,9,7.3,10
25,9,10,7.9,11
540,1,2,6.8,3
21,4,5,6.7,6
60.5,7,8,8,9
10,4,5,4.7,6
11,7,8,6.7,9
10,4,5,5.8,6
21,2,3,4.9,4
5,4,5,5.1,6
58.4,5,6,5.5,7
13.73,4,5,5,6
33,8,9,7.6,10
18,4,5,6.7,6
25,3,4,4.9,5
595.98,1,2,6.5,3
42.2,5,6,5.5,7
15,8,9,7,10
5,5,6,5.5,7
60,8,9,7.9,10
10,10,11,8.1,12
33,5,6,6.6,7
124.91,5,6,5.2,7
84.75,3,4,4.5,5
10,8,9,8,10
10,6,7,6.2,8
187.61,8,9,7,10
16,4,5,6.5,6
141,9,10,7.6,11
33,4,5,7.9,6
18,5,6,6.8,7
23,6,7,5.6,8
143,4,5,7,6
11,9,10,7.9,11
33,4,5,6.6,6
10,9,10,7.5,11
11,7,8,6,9
33,5,6,5.1,7
60,6,7,6.1,8
25,7,8,7.8,9
83,6,7,6.2,8
9,6,7,5.6,8
12,4,5,6.9,6
10,7,8,7.8,9
4,8,9,7.2,10
5,6,7,6.4,8
11,7,8,6.5,9
35,3,4,6.9,5
21.1,5,6,7.1,7
47.4,7,8,8.2,9
60.52,9,10,7,11
28,4,5,7.1,6
50,5,6,6.2,7
60,8,9,7.8,10
109,6,7,7.9,8
60,8,9,7.3,10
22.4,7,8,8.3,9
10,5,6,6.5,7
14,5,6,6.5,7
152,3,4,6.7,5
13,8,9,6.1,10
35,8,9,7.5,10
16,5,6,5.9,7
10,6,7,6.5,8
30,4,5,6.5,6
60,9,10,7.8,11
125.1,3,4,6.5,5
19,8,9,6.4,10
84,5,6,6.2,7
10,5,6,6,7
10,4,5,6.5,6
17,8,9,6.5,10
36,4,5,6.5,6
10,8,9,6.9,10
6,5,6,5.4,7
200.87,5,6,5.5,7
21,5,6,7,7
35,9,10,7.8,11
33,9,10,7.2,11
116.31,5,6,5.5,7
62,6,7,6.6,8
104.83,5,6,5,7
5,7,8,6.4,9
10,8,9,7.6,10
12,1,2,4.8,3
15,6,7,6,8
38,7,8,8.1,9
35,5,6,8.2,7
624.464,0,1,6.6,2
20,4,5,6.5,6
50,5,6,6.4,7
50,6,7,7.1,8
10,7,8,5.6,9
34,9,10,7.2,11
10,5,6,6,7
18.6,2,3,7.7,4
10,5,6,5.6,7
32,4,5,5.6,6
35,3,4,7.2,5
535,1,2,6.9,3
10,2,3,4.7,4
10,6,7,6.3,8
21,5,6,5.9,7
33,9,10,8.1,11
10,2,3,6.6,4
55,8,9,7,10
10,8,9,6.2,10
60,9,10,7.6,11
620,9,10,7.5,11
33,5,6,5.3,7
103.91,7,8,7,9
553.81,1,2,6.7,3
10,5,6,5.5,7
10,5,6,7.7,7
38,4,5,7.5,6
36.02,7,8,6.8,9
11,8,9,6.3,10
46,5,6,5,7
11,5,6,5.3,7
16,5,6,5.5,7
7,4,5,4.9,6
91.27,2,3,7.6,4
100,5,6,7,7
22,5,6,7.2,7
28,8,9,7.8,10
28,5,6,6.9,7
14,3,4,7.2,5
118.69,7,8,6.7,9
19.7,4,5,6.8,6
29,3,4,6.4,5
10,4,5,5.2,6
4,8,9,5.7,10
10,6,7,5.7,8
60,9,10,7.7,11
17,5,6,6.6,7
10,4,5,4.7,6
5,2,3,4.2,4
30,9,10,8,11
35,5,6,6.6,7
10,7,8,6.6,9
26,4,5,6.9,6
100,9,10,7.5,11
77.09,6,7,6,8
10,4,5,5.8,6
33,5,6,8.6,7
16,6,7,5.9,8
48.85,5,6,5.5,7
169.74,9,10,8,11
117.34,7,8,7,9
10,5,6,6.9,7
130,4,5,6.9,6
14,5,6,5.6,7
30,8,9,8.2,10
20,3,4,6.9,5
65.8,3,4,6.7,5
33,5,6,7.8,7
17,5,6,7.6,7
94.54,5,6,7.9,7
47.4,7,8,8.2,9
19,4,5,6.8,6
149.34,5,6,5.9,7
52.39,6,7,6.5,8
15,8,9,5.8,10
21,3,4,6.9,5
10,7,8,7.5,9
123.8,3,4,6.5,5
60,8,9,7.5,10
20,4,5,6.7,6
24,6,7,7.7,8
13,7,8,6,9
10,7,8,6.8,9
10,6,7,5.5,8
26,8,9,6.8,10
25,9,10,9.2,11
22.86,4,5,6.8,6
209.976,2,3,6.5,4
11,6,7,5.6,8
174.8,3,4,6.9,5
33,6,7,7.9,8
86.47,6,7,6.6,8
13,3,4,6.6,5
35,2,3,4.7,4
16,2,3,7.2,4
2,7,8,7.7,9
12,7,8,6.9,9
124,7,8,6.1,9
39,4,5,7,6
15,4,5,5.4,6
10,9,10,6.2,11
15,7,8,6.6,9
81,9,10,7.5,11
16,6,7,6.7,8
85,6,7,6.6,8
7,4,5,5.4,6
36,2,3,4.5,4
26.3,5,6,7.3,7
400,9,10,8,11
13,7,8,7,9
16,4,5,4.7,6
10,6,7,6.3,8
23,3,4,6.7,5
10,2,3,6.7,4
17.9,10,11,7.8,12
225.6,3,4,7.4,5
9,3,4,5,5
33,8,9,7.5,10
79,4,5,6.8,6
33,3,4,7.5,5
46.7,6,7,7.1,8
11,6,7,5.5,8
79,2,3,4.9,4
10,9,10,7,11
217,5,6,7.2,7
340,4,5,7.9,6
5,6,7,6,8
33,4,5,5,6
46.66,4,5,8.2,6
27,5,6,5.3,7
17,8,9,6.8,10
25,8,9,7.6,10
26,5,6,7.6,7
48,6,7,7.7,8
44,4,5,4.9,6
10,5,6,6.9,7
70,9,10,8.5,11
46,9,10,7,11
10,5,6,5.5,7
11,3,4,5.4,5
130,8,9,7.5,10
46,5,6,6.8,7
10,4,5,5.5,6
16.86,4,5,5,6
15,6,7,6.4,8
30,9,10,7.8,11
33,8,9,6.2,10
35,4,5,5.4,6
24,5,6,7.6,7
18,5,6,6.6,7
17,8,9,7,10
60,8,9,7.5,10
22,2,3,4.6,4
10,6,7,5.7,8
15.13,6,7,6,8
10,7,8,6.8,9
35,9,10,7.8,11
37,4,5,7,6
72.6,4,5,6.8,6
131,8,9,7.5,10
60,8,9,7.6,10
5,4,5,4.7,6
23,4,5,6.7,6
18,5,6,6.8,7
33,9,10,7.5,11
10,8,9,7,10
15,9,10,6.7,11
25,6,7,8.6,8
26.59,3,4,6.7,5
34,7,8,6.7,9
8,6,7,5,8
8,2,3,6.5,4
10,6,7,6.5,8
66,4,5,6.7,6
29,4,5,6.9,6
33,8,9,7.9,10
5,8,9,6,10
10,5,6,7.1,7
23,9,10,7.5,11
10,5,6,4.8,7
10,8,9,7.3,10
33,7,8,7.4,9
33,5,6,6.3,7
80,9,10,8.1,11
28,9,10,7.3,11
10,5,6,6.6,7
11,8,9,5.8,10
30,5,6,7.8,7
117.34,7,8,7,9
48,10,11,8.1,12
15,5,6,5.6,7
110,3,4,6.5,5
100,8,9,7.8,10
16.7,8,9,6.2,10
33,7,8,6.5,9
170,9,10,7.5,11
34,5,6,5.6,7
18.027,2,3,7.7,4
38,6,7,6.6,8
10,5,6,7.4,7
29,7,8,6.7,9
150,6,7,6.9,8
69.1,4,5,6.5,6
212,4,5,7.3,6
5,6,7,5,8
37,1,2,6.5,3
14,3,4,4.5,5
132,6,7,6.9,8
15,6,7,6.3,8
10,8,9,6.7,10
70,6,7,5.9,8
24,1,2,6.7,3
15,9,10,7.1,11
624,1,2,6.7,3
27.9,7,8,8,9
10,5,6,5.5,7
23,7,8,8.8,9
100,7,8,8.3,9
20,7,8,6.8,9
31,8,9,7,10
15,9,10,7.6,11
570.41,1,2,6.8,3
33,4,5,6.7,6
17.9,10,11,7.8,12
37,3,4,6.4,5
33,4,5,6.6,6
15,9,10,8.1,11
34,9,10,7.1,11
670,9,10,7.9,11
5,5,6,6.5,7
3,6,7,6.4,8
44,9,10,7.2,11
62,4,5,7.3,6
10,4,5,5.7,6
31,2,3,6.3,4
39,4,5,5.7,6
52,6,7,6.8,8
21,9,10,7.1,11
17,7,8,6.9,9
